Kimlik_No,Ad,Soyad,Cinsiyet,Yaş,Email,Telefon,Şehir,İlçe,Rol_Kategorisi,Rol,Kıdem,Ünvan,Deneyim_Yıl,Eğitim_Seviyesi,Eğitim_Alanı,Mezuniyet_Yılı,Doğum_Yılı,İşe_Başlama_Tarihi,Maaş_TL,Şirket,Şirket_Büyüklüğü,Sektör,Çalışma_Şekli,Uzaktan_Çalışma_Oranı,Kullandığı_Teknolojiler,Ana_Programlama_Dili,İngilizce_Seviyesi,Diğer_Diller,Sertifikalar,LinkedIn_Profili,GitHub_Profili,Toplam_Proje_Sayısı,Teknik_Beceri_Puanı,Soft_Skill_Puanı,Yıllık_İzin_Gün,Son_Terfi_Tarihi
302,Çerçi,Fırat,Erkek,37,cerci_firat@hotmail.com,(082)148 6289,İstanbul,Kadıköy,Tasarım ve Kullanıcı Deneyimi,Grafik Tasarımcı,Müdür Yardımcısı,Müdür Yardımcısı Grafik Tasarımcı,15.0,Lisans,Bilişim Sistemleri,2010,1988,2016-09-25,61678,Teknasyon,Küçük (11-50),Finans/Bankacılık,Freelance,80,"UXPin, Adobe XD, Adobe Photoshop, Less, Babel, WebAssembly",,İleri Düzey,"Türkçe (Anadil), Fransızca (İleri), Fransızca (Başlangıç)","Interaction Design Foundation UX Certificate, Adobe XD Certification",linkedin.com/in/cerci-firat-824,,30,98,88,26,2024-04-27
303,Akcivan,Akçay,Erkek,29,akcivanakcay@gmail.com,03030705345,Ankara,Gölbaşı,Destek ve Operasyon,Altyapı Teknisyeni,Jr.,Jr. Altyapı Teknisyeni,1.1,Lisans,Bilgisayar Mühendisliği,2018,1996,2024-12-20,19706,Amazon Türkiye,Kurumsal (1000+),Danışmanlık,Tam Zamanlı,20,"Scala, C#, TypeScript, Firebase, MongoDB, Couchbase, Cassandra, Kubernetes, Grafana, Istio",Scala,İleri,Türkçe (Anadil),,linkedin.com/in/akcivan-akcay-324,github.com/aakcay,7,45,45,15,2024-11-23
304,Sezen,Zorlu,Kadın,52,zorlu.sezen@yahoo.com,103 5 797,İstanbul,Sarıyer,İş ve Analiz,Sistem Analisti,Müdür,Müdür Sistem Analisti,13.5,Lisans,Yazılım Mühendisliği,1995,1973,2021-07-24,67553,Mobiroller,Küçük (11-50),Oyun,Tam Zamanlı,0,"Groovy, Rust, JavaScript, Oracle, Couchbase, Cassandra, Supabase, SonarQube, Chef",JavaScript,İleri,"Türkçe (Anadil), Rusça (Orta)","Aruba Certified Switching Associate, IBM Certified System Administrator, Aruba Certified Switching Associate",linkedin.com/in/sezen-zorlu-609,,22,96,75,24,2022-04-08
305,Cantez,Bilge,Erkek,44,bilge.cantez@yahoo.com,+90(985)524-1406x029,Adana,Yeni Mahalle,Veri,Büyük Veri Uzmanı,Stajyer,Stajyer Büyük Veri Uzmanı,0.5,Lisans,Bilgisayar Mühendisliği,2003,1981,2025-12-20,9629,Cybersoft,Orta (51-200),Danışmanlık,Tam Zamanlı,20,"Elixir, Swift, Kotlin, Ruby, Firestore, Neo4j, Oracle, Couchbase, Hugging Face, PyTorch",Kotlin,İleri,"Türkçe (Anadil), Almanca (Başlangıç)",,linkedin.com/in/cantez-bilge-299,github.com/cantez_bilge,1,37,60,14,
306,Günar,Akdeniz,Kadın,43,gunar.akdeniz@gmail.com,03346800722,İstanbul,Maltepe,İş ve Analiz,Bilgi Sistemleri Analisti,Müdür Yardımcısı,Müdür Yardımcısı Bilgi Sistemleri Analisti,11.9,Lisans,İstatistik,2004,1982,2016-06-06,51427,Armut.com,Küçük (11-50),Finans/Bankacılık,Tam Zamanlı,0,"Scala, Go, Ruby, MongoDB, Couchbase, InfluxDB, SonarQube, CircleCI",Scala,İleri Düzey,Türkçe (Anadil),"Red Hat Certified Engineer (RHCE), Cisco Certified Network Associate (CCNA), Cisco Certified Network Associate (CCNA)",linkedin.com/in/gunar-akdeniz-413,github.com/gunar.akdeniz,31,95,77,23,2021-12-09
307,Sıla,Sezgin,Erkek,56,silasezgin@gmail.com,+90(349)4466574,Denizli,Merkez,DevOps ve Altyapı,Linux Yöneticisi,Mid.,Mid. Linux Yöneticisi,4.7,Lisans,Bilişim Sistemleri,1991,1969,2022-09-05,26707,Deloitte Digital,Büyük (201-1000),Danışmanlık,Yarı Zamanlı,0,"TypeScript, Rust, Elixir, Vault, SonarQube, SQL Server, CockroachDB, Oracle Cloud, Linode",Rust,İleri Düzey,"Türkçe (Anadil), İspanyolca (Başlangıç)",Oracle Cloud Infrastructure Developer,linkedin.com/in/sila-sezgin-446,github.com/sila_sezgin,12,65,59,18,2024-11-23
308,Günver,Ertaş,Kadın,52,gunver.ertas@outlook.com,0896-910 8589,İzmir,Konak,Destek ve Operasyon,IT Destek Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı IT Destek Uzmanı,14.6,Lisans,Fizik,1995,1973,2019-07-25,52047,Innova,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Clojure, R, Scala, ElasticSearch, MongoDB, CockroachDB, Chef, Git",R,İleri,Türkçe (Anadil),"Cisco Certified Network Associate (CCNA), CompTIA Network+",,,38,100,93,24,2023-07-02
309,Şennur,Arslan,Kadın,56,sennur.arslan@gmail.com,0171-545 4443,İstanbul,Beyoğlu,QA ve Test,QA Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı QA Mühendisi,14.8,Lise,Bilgisayar Teknolojileri,1987,1969,2024-07-24,57496,Bilge Adam Teknoloji,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"MATLAB, C++, SoapUI, TestNG, Prometheus, Chef, Sentry, Docker",MATLAB,İleri Düzey,Türkçe (Anadil),"Certified Kubernetes Developer (CKD), Microsoft Certified: .NET Developer, Certified Kubernetes Developer (CKD), Node.js Application Developer",linkedin.com/in/sennur-arslan-245,,39,100,85,24,
310,Biltaş,Fırat,Erkek,58,biltas.firat@outlook.com,00965207446,Adana,Yıldız,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Lead,Lead Yapay Zeka Araştırmacısı,9.6,Lise,Bilgisayar Teknolojileri,1985,1967,2022-05-27,59668,Oracle Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Elixir, COBOL, Scikit-learn, OpenAI API, SQL Server, SQLite",COBOL,Orta,Türkçe (Anadil),SAS Certified Data Scientist,linkedin.com/in/biltas-firat-811,github.com/biltasfirat69,24,95,62,22,2024-07-26
311,Kutay,Kısakürek,Erkek,34,kutay.kisakurek@gmail.com,+90(993)5387584,Ankara,Altındağ,Güvenlik,Güvenlik Mühendisi,Lead,Lead Güvenlik Mühendisi,12.0,Lisans,Bilgisayar Mühendisliği,2013,1991,2016-01-27,53213,Arçelik A.Ş.,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"VBA, C#, MATLAB, Nmap, Trend Micro, Snort, SonarQube, GitLab CI/CD, Kubernetes, Vault, Docker",VBA,İleri,"Türkçe (Anadil), Çince (Başlangıç), Fransızca (Orta)","Certified Information Security Manager (CISM), CompTIA Security+",linkedin.com/in/kutay-kisakurek-299,,29,91,72,23,2023-11-29
312,Şefi,Aksu,Erkek,40,saksu@gmail.com,+90(241)724-8251x3534,İstanbul,Sarıyer,Tasarım ve Kullanıcı Deneyimi,UI Tasarımcısı,Stajyer,Stajyer UI Tasarımcısı,0.3,Lisans,Endüstri Mühendisliği,2007,1985,2025-12-11,9768,Siemens Türkiye,Orta (51-200),Danışmanlık,Tam Zamanlı,0,"Balsamiq, Figma, Sass/SCSS, TypeScript, Svelte",TypeScript,İleri,Türkçe (Anadil),,,,3,43,49,14,
313,Mahir,Çetin,Erkek,37,mahir.cetin@outlook.com,(549)471 7099,Ankara,Gölbaşı,Tasarım ve Kullanıcı Deneyimi,Web Tasarımcısı,Sr.,Sr. Web Tasarımcısı,6.4,Yüksek Lisans,Elektrik-Elektronik Mühendisliği,2012,1988,2021-04-05,32087,Cybersoft,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Marvel, Zeplin, Sketch, Nuxt.js, Next.js",,İleri Düzey,Türkçe (Anadil),Interaction Design Foundation UX Certificate,linkedin.com/in/mahir-cetin-461,github.com/mcetin,23,80,63,20,2023-03-04
314,Taygan,Erdoğan,Erkek,43,taygan_erdogan@hotmail.com,+90(381)684-6022x356,İzmir,Karşıyaka,Destek ve Operasyon,Teknik Destek Mühendisi,Jr.,Jr. Teknik Destek Mühendisi,0.8,Önlisans,Bilgisayar Mühendisliği,2002,1982,2025-08-18,19459,Bimsa,Kurumsal (1000+),Danışmanlık,Tam Zamanlı,0,"Groovy, Clojure, Firebase, Neo4j, PostgreSQL, Prometheus, GitLab CI/CD",Groovy,İleri,"Türkçe (Anadil), İspanyolca (İleri)",,linkedin.com/in/taygan-erdogan-783,github.com/erdogant,6,43,61,14,
315,Üge,Akçay,Kadın,34,ugeakcay@gmail.com,+90(252)175-2500x743,İstanbul,Üsküdar,Güvenlik,Güvenlik Mühendisi,Sr.,Sr. Güvenlik Mühendisi,5.9,Yüksek Lisans,Elektrik-Elektronik Mühendisliği,2015,1991,2025-11-02,46045,Hepsiburada Tech,Büyük (201-1000),E-Ticaret,Uzaktan,100,"Kotlin, JavaScript, Hydra, Snort, OWASP ZAP, GitHub Actions, Jenkins",JavaScript,İleri,Türkçe (Anadil),"Systems Security Certified Practitioner (SSCP), Offensive Security Certified Professional (OSCP), Certified Information Security Manager (CISM), Certified Information Systems Auditor (CISA)",linkedin.com/in/uge-akcay-255,github.com/uge.akcay,23,82,65,20,2022-09-05
316,Çeviköz,Öcalan,Erkek,39,cevikoz.ocalan@outlook.com,0927 129 66 66,Konya,Yeni Mahalle,Veri,Veri Analisti,Sr.,Sr. Veri Analisti,5.3,Lise,Bilgisayar Teknolojileri,2004,1986,2023-07-16,33048,TÜBİTAK,Kurumsal (1000+),Perakende,Tam Zamanlı,0,"Python, Perl, Elixir, MariaDB, Couchbase, MongoDB, Supabase, Apache Spark, NumPy",Elixir,İleri,Türkçe (Anadil),SAS Certified Data Scientist,linkedin.com/in/cevikoz-ocalan-828,,12,70,66,20,
317,Nevsal,Kısakürek,Erkek,59,kisakurek.nevsal@yahoo.com,+90(083)5058300,Aydın,Atatürk,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Lead,Lead Yapay Zeka Araştırmacısı,11.9,Doktora,Bilgisayar Mühendisliği,1994,1966,2019-03-02,58082,Martı Tech,Küçük (11-50),Oyun,Tam Zamanlı,0,"Assembly, Elixir, MATLAB, JavaScript, MLflow, PyTorch, NumPy, MySQL, Supabase, Firebase, ElasticSearch",Elixir,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/nevsal-kisakurek-813,github.com/nevsal.kisakurek,28,91,67,23,2023-05-03
318,Huban,Bilgin,Kadın,57,hubanbilgin@gmail.com,(421)689 4210,Ankara,Gölbaşı,Veri,Veri Mimarı,Jr.,Jr. Veri Mimarı,1.7,Doktora,Matematik,1996,1968,2024-01-26,20334,Vodafone Teknoloji,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"Haskell, Ruby, Assembly, JavaScript, MySQL, Supabase, Dask, Hugging Face, Scikit-learn, NumPy",JavaScript,İleri,Türkçe (Anadil),,linkedin.com/in/huban-bilgin-157,,3,44,47,15,2025-01-22
319,Gençay,Akça,Erkek,36,gencayakca@gmail.com,0789-856 2575,İstanbul,Beşiktaş,QA ve Test,Test Otomasyon Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı Test Otomasyon Uzmanı,12.6,Lisans,Bilgisayar Mühendisliği,2011,1989,2020-10-23,52764,Teknasyon,Startup (1-10),Oyun,Tam Zamanlı,0,"C++, Go, Playwright, xUnit, Jasmine, Git, Jenkins",C++,Orta,Türkçe (Anadil),IBM Data Science Professional Certificate,linkedin.com/in/gencay-akca-755,github.com/gencayakca55,46,93,80,23,2021-10-10
320,Gülenay,Aksu,Kadın,38,gulenay_aksu@hotmail.com,033 2 309,Bursa,Nilüfer,Yazılım Geliştirme,Backend Geliştirici,Sr.,Sr. Backend Geliştirici,6.0,Yüksek Lisans,Yazılım Mühendisliği,2011,1987,2025-07-03,36548,Deloitte Digital,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Elixir, Lua, JavaScript, Objective-C, WebAssembly, Tailwind CSS, Nuxt.js, Echo, Play Framework, Deno, CockroachDB, Couchbase, Redis",Lua,İleri,Türkçe (Anadil),"React Developer Certificate, Node.js Application Developer",linkedin.com/in/gulenay-aksu-575,github.com/aksug,22,81,49,20,
321,Tuğçe,Aksu,Kadın,46,tugce.aksu@outlook.com,+90 (506) 4890901,İstanbul,Bakırköy,Yazılım Geliştirme,API Geliştirici,Müdür,Müdür API Geliştirici,18.5,Doktora,Bilgisayar Mühendisliği,2007,1979,2012-04-04,74926,IBM Türkiye,Kurumsal (1000+),Yazılım,Tam Zamanlı,0,"C++, Swift, F#, jQuery, Svelte, Angular, Ember.js, Echo, CodeIgniter, Koa.js, Laravel, PostgreSQL, MariaDB, SQL Server",C++,İleri Düzey,"Türkçe (Anadil), Rusça (Başlangıç)","Certified Kubernetes Developer (CKD), React Developer Certificate, Certified Kubernetes Administrator (CKA)",linkedin.com/in/tugce-aksu-446,github.com/tugce.aksu,33,100,85,26,2022-06-07
322,Tunçboğa,Karadeniz,Erkek,45,tuncboga.karadeniz@outlook.com,+90(016)7618472,Adana,Atatürk,İş ve Analiz,ERP Uzmanı,Stajyer,Stajyer ERP Uzmanı,0.0,Lisans,Bilgisayar Mühendisliği,2002,1980,2025-12-08,8656,Sipay,Küçük (11-50),Finans/Bankacılık,Tam Zamanlı,20,"COBOL, Go, C#, Supabase, Cassandra, FaunaDB, Chef, Vault",Go,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/tuncboga-karadeniz-429,github.com/tkaradeniz,3,40,42,14,
323,Gülsiye,Sezer,Kadın,39,gulsiye.sezer@outlook.com,+90(461)8499261,İstanbul,Kadıköy,Yönetim ve Liderlik,Scrum Master,Jr.,Jr. Scrum Master,1.4,Lisans,Yönetim Bilişim Sistemleri,2008,1986,2025-09-05,30002,Enpara Teknoloji,Küçük (11-50),Yazılım,Freelance,80,"Lua, TypeScript, Swift, VBA, Redis, Firestore, GitHub Actions, Grafana, ArgoCD, Helm",Lua,İleri,Türkçe (Anadil),,linkedin.com/in/gulsiye-sezer-759,,2,46,71,15,
324,Umuşan,Gül,Kadın,50,umusan.gul@outlook.com,+90 (411) 7393483,İstanbul,Şişli,İş ve Analiz,ERP Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı ERP Uzmanı,10.5,Lisans,Yazılım Mühendisliği,1997,1975,2024-08-10,51525,KoçSistem,Orta (51-200),Yazılım,Tam Zamanlı,0,"Perl, Rust, C#, Kotlin, ElasticSearch, FaunaDB, MySQL, Neo4j, GitLab CI/CD, ArgoCD, Ansible, Sentry",Perl,İleri,Türkçe (Anadil),"AWS Certified DevOps Engineer, AWS Certified Developer, AWS Certified DevOps Engineer, AWS Certified Developer",linkedin.com/in/umusan-gul-830,github.com/umusangul97,31,100,72,22,2021-03-14
325,Hıfzullah,Demirel,Erkek,47,hdemirel@gmail.com,420 8 737,İstanbul,Maltepe,QA ve Test,Kullanıcı Kabul Testi Uzmanı,Jr.,Jr. Kullanıcı Kabul Testi Uzmanı,1.3,Lise,Bilgisayar Programcılığı,1996,1978,2024-02-25,21926,Iyzico,Startup (1-10),E-Ticaret,Yarı Zamanlı,20,"Java, Clojure, Chai, PyTest, JUnit, Jasmine, Grafana, Terraform",Java,İleri,Türkçe (Anadil),,linkedin.com/in/hifzullah-demirel-604,github.com/demirelh,5,50,43,15,2024-05-27
326,Gürsal,Yüksel,Erkek,36,gyuksel@gmail.com,+90(011)9721811,Ankara,Mamak,Veri,Büyük Veri Uzmanı,Lead,Lead Büyük Veri Uzmanı,11.6,Lisans,Bilgisayar Mühendisliği,2011,1989,2022-01-21,56886,Martı Tech,Küçük (11-50),Oyun,Tam Zamanlı,0,"PHP, Kotlin, Go, Scala, Firebase, InfluxDB, Apache Kafka, Hugging Face",Scala,Orta,Türkçe (Anadil),"Certified Data Management Professional (CDMP), IBM Data Science Professional Certificate",linkedin.com/in/gursal-yuksel-405,,21,100,66,23,2024-11-23
327,Erinçer,Şensoy,Erkek,36,esensoy@gmail.com,07447012045,Eskişehir,Bahçelievler,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Lead,Lead Yapay Zeka Araştırmacısı,8.1,Lise,Bilgisayar Teknolojileri,2007,1989,2022-04-16,59350,Lostar,Kurumsal (1000+),Yazılım,Hibrit,40,"Perl, Groovy, Lua, CUDA, NLTK, Scikit-learn, SQL Server, MySQL, FaunaDB, PostgreSQL",Perl,İleri Düzey,"Türkçe (Anadil), Fransızca (Başlangıç)","Microsoft Certified: Data Engineer, MongoDB Certified DBA",linkedin.com/in/erincer-sensoy-295,,26,84,60,21,2025-01-22
328,Özüdoğru,Tarhan,Erkek,24,ozudogru.tarhan@gmail.com,(611)002 2557,İstanbul,Beyoğlu,Yönetim ve Liderlik,Scrum Master,Stajyer,Stajyer Scrum Master,0.5,Lisans,İstatistik,2023,2001,2025-08-06,12702,Migros Teknoloji,Büyük (201-1000),Perakende,Sözleşmeli,20,"Groovy, PHP, Python, COBOL, CockroachDB, MongoDB, Oracle, Redis, ArgoCD, Sentry",Groovy,Orta,Türkçe (Anadil),,linkedin.com/in/ozudogru-tarhan-113,,1,47,57,14,
329,Kezban,Akgündüz,Kadın,40,kezban.akgunduz@outlook.com,+90 (552) 1667467,Ankara,Gölbaşı,Yazılım Geliştirme,Oyun Geliştirici,Müdür,Müdür Oyun Geliştirici,13.5,Lisans,Endüstri Mühendisliği,2007,1985,2022-01-28,72408,HP Türkiye,Kurumsal (1000+),Danışmanlık,Tam Zamanlı,0,"Rust, JavaScript, Lua, Nuxt.js, Ember.js, Babel, Play Framework, Deno, FaunaDB, Supabase, Oracle, Couchbase",Lua,İleri,Türkçe (Anadil),"React Developer Certificate, Certified Kubernetes Administrator (CKA), Professional Scrum Developer",linkedin.com/in/kezban-akgunduz-606,github.com/kezbanakgunduz53,50,100,77,24,2020-07-17
330,Özçam,Seven,Erkek,44,ozcam.seven@outlook.com,0120 216 97 97,Ankara,Keçiören,Yazılım Geliştirme,Gömülü Yazılım Geliştirici,Lead,Lead Gömülü Yazılım Geliştirici,11.7,Sertifika Programı,Bilgisayar Programcılığı,2006,1981,2022-11-27,53147,BAYKAR,Orta (51-200),Kamu,Tam Zamanlı,0,"Dart, Groovy, Webpack, TypeScript, Node.js, FastAPI, Strapi, Laravel, Cassandra, Couchbase, CockroachDB, SQL Server",Groovy,İleri Düzey,"Türkçe (Anadil), İspanyolca (Başlangıç)","Certified Kubernetes Developer (CKD), Node.js Application Developer",linkedin.com/in/ozcam-seven-208,github.com/oseven,19,93,57,23,
331,Gülbani,Mansız,Kadın,28,mansiz.gulbani@yahoo.com,590 2 771,İstanbul,Beşiktaş,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Sr.,Sr. Yapay Zeka Araştırmacısı,5.9,Lisans,Yazılım Mühendisliği,2019,1997,2021-01-01,47024,Vodafone Teknoloji,Büyük (201-1000),E-Ticaret,Tam Zamanlı,0,"R, Rust, Power BI, TensorFlow, SageMaker, Hugging Face, Couchbase, ElasticSearch, MariaDB",R,İleri,Türkçe (Anadil),"SAS Certified Data Scientist, Microsoft Certified: Data Analyst Associate, MongoDB Certified DBA, Microsoft Certified: Data Analyst Associate",linkedin.com/in/gulbani-mansiz-584,,22,88,51,20,2022-02-07
332,Kınel,Dumanlı,Erkek,44,kinel.dumanli@outlook.com,+90(145)0899358,Ankara,Çankaya,QA ve Test,Test Uzmanı,Sr.,Sr. Test Uzmanı,7.3,Lise,Bilgisayar Programcılığı,1999,1981,2019-02-08,35315,Havelsan,Kurumsal (1000+),Telekom,Tam Zamanlı,0,"Kotlin, Swift, Robot Framework, Mocha, Appium, Cypress, Terraform, Vault",Kotlin,İleri Düzey,Türkçe (Anadil),Sketch Certified,linkedin.com/in/kinel-dumanli-648,,11,76,68,21,2022-06-07
333,Razı,Sezer,Erkek,50,razi_sezer@hotmail.com,+90 (637) 5628900,Konya,Merkez,Yapay Zeka ve Makine Öğrenmesi,Derin Öğrenme Mühendisi,Müdür Yardımcısı,Müdür Yardımcısı Derin Öğrenme Mühendisi,12.1,Lisans,Elektronik Haberleşme,1997,1975,2014-04-16,62603,Aselsan,Büyük (201-1000),Perakende,Tam Zamanlı,0,"Kotlin, Elixir, Luigi, NLTK, SageMaker, Apache Kafka, SQL Server, Supabase, SQLite, Oracle",Kotlin,İleri Düzey,"Türkçe (Anadil), İspanyolca (Başlangıç)","Microsoft Certified: Data Analyst Associate, SAS Certified Data Scientist",linkedin.com/in/razi-sezer-528,github.com/rsezer,37,97,75,23,2023-10-30
334,Feraye,Zorlu,Kadın,44,zorlu.feraye@yahoo.com,+90(721)753-5408x386,İstanbul,Ataşehir,DevOps ve Altyapı,Site Reliability Engineer (SRE),Stajyer,Stajyer Site Reliability Engineer (SRE),0.1,Lisans,Elektrik-Elektronik Mühendisliği,2003,1981,2025-11-18,11706,Enpara Teknoloji,Startup (1-10),Yazılım,Tam Zamanlı,0,"Java, Ruby, Go, C#, Terraform, ArgoCD, Docker, PostgreSQL, Firestore, MySQL, Tencent Cloud, Linode",Java,İleri,"Türkçe (Anadil), Fransızca (Başlangıç)",,linkedin.com/in/feraye-zorlu-779,,2,39,43,14,
335,Koşukhan,Alemdar,Erkek,56,kosukhan.alemdar@gmail.com,01779717751,İstanbul,Şişli,Destek ve Operasyon,Teknik Destek Mühendisi,Jr.,Jr. Teknik Destek Mühendisi,1.2,Sertifika Programı,İstatistik,1991,1969,2024-11-25,19889,Iyzico,Küçük (11-50),Oyun,Tam Zamanlı,0,"Kotlin, Assembly, MySQL, Redis, MariaDB, Puppet, ELK Stack, Grafana",Kotlin,İleri,"Türkçe (Anadil), İspanyolca (Başlangıç)",,linkedin.com/in/kosukhan-alemdar-609,,5,51,41,15,
336,Oldağ,Korutürk,Erkek,31,oldag.koruturk@outlook.com,+90(166)0880199,İstanbul,Beyoğlu,QA ve Test,Test Otomasyon Uzmanı,Sr.,Sr. Test Otomasyon Uzmanı,7.0,Sertifika Programı,Bilgisayar Programcılığı,2022,1994,2024-05-28,40809,BİTES,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"Perl, Kotlin, Groovy, Dart, WireMock, TestNG, Cucumber, Jasmine, GitHub Actions, ELK Stack, SonarQube",Kotlin,İleri,"Türkçe (Anadil), Çince (Orta)","GIAC Security Essentials (GSEC), Certified Information Security Manager (CISM), CyberArk Certified Defender, Palo Alto Networks Certified Cybersecurity Associate (PCCSA)",linkedin.com/in/oldag-koruturk-886,,14,86,56,21,2023-04-03
337,Merim,Akgündüz,Kadın,57,merim_akgunduz@hotmail.com,+90(837)550-3758x9975,İstanbul,Üsküdar,İş ve Analiz,CRM Uzmanı,Mid.,Mid. CRM Uzmanı,2.4,Lisans,Yazılım Mühendisliği,1990,1968,2023-04-20,27084,Armut.com,Küçük (11-50),Finans/Bankacılık,Tam Zamanlı,0,"PHP, Objective-C, MATLAB, Groovy, Oracle, DynamoDB, MongoDB, Git, ArgoCD, Istio",Groovy,Başlangıç,Türkçe (Anadil),"Fortinet Network Security Associate, Fortinet Network Security Associate, CompTIA Network+",linkedin.com/in/merim-akgunduz-537,,12,68,46,16,2024-02-27
338,Yağızkurt,Dumanlı,Erkek,30,yagizkurtdumanli@gmail.com,+90 (130) 5548851,İstanbul,Kadıköy,Yazılım Geliştirme,Backend Geliştirici,Mid.,Mid. Backend Geliştirici,2.3,Lisans,Bilgisayar Mühendisliği,2017,1995,2023-12-22,28203,Akbank Teknoloji,Büyük (201-1000),E-Ticaret,Tam Zamanlı,20,"PHP, Swift, R, Ruby, Svelte, Less, Adonis.js, FastAPI, Strapi, Play Framework, Oracle, MySQL",R,İleri Düzey,Türkçe (Anadil),"Certified Kubernetes Developer (CKD), Microsoft Certified: .NET Developer, Certified Spring Professional",linkedin.com/in/yagizkurt-dumanli-376,,6,57,50,16,
339,Alanalp,Akçay,Erkek,51,aakcay@gmail.com,0726 149 33 16,İstanbul,Şişli,Güvenlik,Güvenlik Mimarı,Jr.,Jr. Güvenlik Mimarı,0.5,Lisans,Yazılım Mühendisliği,1996,1974,2025-08-07,22827,Aselsan,Kurumsal (1000+),Perakende,Tam Zamanlı,0,"Assembly, Scala, Python, Groovy, Snort, Symantec, HashiCorp Vault, GitLab CI/CD, Sentry, Docker, Chef",Groovy,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/alanalp-akcay-715,,7,46,45,14,
340,Doğanşah,Ertaş,Erkek,42,dogansah_ertas@hotmail.com,05160917798,İstanbul,Ataşehir,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Sr.,Sr. Yapay Zeka Araştırmacısı,6.8,Lisans,Bilgisayar Mühendisliği,2005,1983,2023-04-21,54399,Lostar,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"Python, Perl, R, Apache Kafka, Tableau, Scikit-learn, OpenCV, Cassandra, DynamoDB, MariaDB",Perl,İleri,Türkçe (Anadil),"Microsoft Certified: Data Analyst Associate, MongoDB Certified DBA, Certified Data Management Professional (CDMP)",linkedin.com/in/dogansah-ertas-262,github.com/dogansah.ertas,11,80,52,20,2023-10-30
341,Bellisan,Soylu,Erkek,40,bellisansoylu@gmail.com,+90(808)6978292,Konya,Atatürk,DevOps ve Altyapı,Sistem Yöneticisi,Sr.,Sr. Sistem Yöneticisi,5.9,Lisans,Bilgisayar Mühendisliği,2007,1985,2020-10-02,36098,Innova,Büyük (201-1000),Finans/Bankacılık,Sözleşmeli,0,"Haskell, Go, Jenkins, Sentry, Git, CircleCI, FaunaDB, SQL Server, Cloudflare, Netlify, Google Cloud",Haskell,İleri,Türkçe (Anadil),"Certified Scrum Product Owner (CSPO), ITIL Foundation, Google Cloud Professional Cloud Developer",linkedin.com/in/bellisan-soylu-158,,15,75,63,20,2024-06-26
342,Yönetmen,Alemdar,Erkek,60,yonetmen_alemdar@hotmail.com,0169 958 66 93,Ankara,Gölbaşı,Yönetim ve Liderlik,Scrum Master,Direktör,Direktör Scrum Master,17.6,Önlisans,Bilgisayar Mühendisliği,1985,1965,2009-02-13,103039,Enpara Teknoloji,Küçük (11-50),Oyun,Tam Zamanlı,0,"MATLAB, Clojure, Dart, Rust, Supabase, ElasticSearch, DynamoDB, Neo4j, SonarQube, Chef",Clojure,İleri Düzey,Türkçe (Anadil),"PRINCE2 Foundation/Practitioner, Professional Scrum Master (PSM), Disciplined Agile Senior Scrum Master (DASSM)",linkedin.com/in/yonetmen-alemdar-482,github.com/yonetmen_alemdar,44,94,87,26,2021-11-09
343,Kutun,Gülen,Kadın,50,kgulen@gmail.com,(472)269 8485,Antalya,Konyaaltı,Yapay Zeka ve Makine Öğrenmesi,Bilgisayarla Görü Uzmanı,Sr.,Sr. Bilgisayarla Görü Uzmanı,5.4,Doktora,Fizik,2003,1975,2022-08-13,43603,Bimsa,Büyük (201-1000),Yazılım,Tam Zamanlı,0,"C#, Clojure, Keras, Databricks, MariaDB, InfluxDB",Clojure,İleri Düzey,"Türkçe (Anadil), Almanca (Başlangıç)","Microsoft Certified: Data Analyst Associate, Microsoft Certified: Data Engineer, MongoDB Certified DBA",linkedin.com/in/kutun-gulen-618,github.com/kutun_gulen,18,74,48,20,2021-11-09
